Month,Unemployment,Balance
1990/12/01,213,-2936
1991/01/01,206,27
1991/02/01,200,-599
1991/03/01,195,-1160
1991/04/01,192,-1560
1991/05/01,195,-1200
1991/06/01,200,-1776
1991/07/01,204,-2236
1991/08/01,205,-2648
1991/09/01,204,-2883
1991/10/01,203,-3118
1991/11/01,199,-3158
1991/12/01,191,-3355
1992/01/01,184,-515
1992/02/01,185,-782
1992/03/01,187,-1902
1992/04/01,190,-2110
1992/05/01,192,-2014
1992/06/01,194,-2561
1992/07/01,195,-3412
1992/08/01,198,-3527
1992/09/01,199,-3972
1992/10/01,200,-3553
1992/11/01,205,-3556
1992/12/01,211,-3769
1993/01/01,218,-792
1993/02/01,226,-1602
1993/03/01,237,-2493
1993/04/01,248,-2697
1993/05/01,253,-2498
1993/06/01,257,-3283
1993/07/01,262,-3818
1993/08/01,267,-4192
1993/09/01,269,-4474
1993/10/01,277,-4360
1993/11/01,284,-4536
1993/12/01,293,-5168
1994/01/01,302,-731
1994/02/01,306,-1173
1994/03/01,311,-1595
1994/04/01,316,-1594
1994/05/01,322,-1492
1994/06/01,326,-2057
1994/07/01,331,-2683
1994/08/01,332,-2680
1994/09/01,333,-2913
1994/10/01,333,-2596
1994/11/01,334,-2965
1994/12/01,334,-3981
1995/01/01,338,-882
1995/02/01,339,-1070
1995/03/01,341,-1318
1995/04/01,342,-1918
1995/05/01,341,-1318
1995/06/01,338,-1462
1995/07/01,336,-2060
1995/08/01,334,-2347
1995/09/01,334,-2508
1995/10/01,337,-2697
1995/11/01,340,-3263
1995/12/01,341,-3778
1996/01/01,343,-642
1996/02/01,345,-545
1996/03/01,348,-835
1996/04/01,353,-1525
1996/05/01,353,-1068
1996/06/01,350,-1965
1996/07/01,345,-2996
1996/08/01,344,-2860
1996/09/01,339,-3085
1996/10/01,338,-3972
1996/11/01,338,-4300
1996/12/01,337,-5483
1997/01/01,336,-824
1997/02/01,339,-882
1997/03/01,334,-1534
1997/04/01,329,-1831
1997/05/01,323,-1113
1997/06/01,319,-1198
1997/07/01,324,-2982
1997/08/01,323,-3005
1997/09/01,320,-2907
1997/10/01,316,-3575
1997/11/01,311,-5677
1997/12/01,304,-6573
1998/01/01,331,-396
1998/02/01,322,-756
1998/03/01,302,-1828
1998/04/01,283,-2058
1998/05/01,271,-1511
1998/06/01,265,-2138
1998/07/01,270,-3222
1998/08/01,274,-3558
1998/09/01,275,-2652
1998/10/01,276,-3095
1998/11/01,270,-3132
1998/12/01,268,-4474
1999/01/01,262,-195
1999/02/01,259,-530
1999/03/01,262,-1084
1999/04/01,271,-1693
1999/05/01,274,-185
1999/06/01,271,-1285
1999/07/01,260,-1374
1999/08/01,249,-2425
1999/09/01,238,-2040
1999/10/01,235,-2593
1999/11/01,236,-3162
1999/12/01,241,-3669
2000/01/01,247,271
2000/02/01,247,-310
2000/03/01,240,-1139
2000/04/01,229,-1441
2000/05/01,227,-384
2000/06/01,229,-1566
2000/07/01,240,-1581
2000/08/01,239,-2305
2000/09/01,230,-2055
2000/10/01,217,-2677
2000/11/01,212,-5216
2000/12/01,215,-4928
2001/01/01,227,-711
2001/02/01,237,-387
2001/03/01,240,-1175
2001/04/01,237,-2206
2001/05/01,239,-1418
2001/06/01,243,-2585
2001/07/01,243,-3205
2001/08/01,242,-3662
2001/09/01,243,-3427
2001/10/01,244,-4253
2001/11/01,245,-4499
2001/12/01,246,-5064
2002/01/01,249,-343
2002/02/01,254,-865
2002/03/01,265,-1793
2002/04/01,278,-2631
2002/05/01,287,-1692
2002/06/01,294,-3517
2002/07/01,300,-4587
2002/08/01,311,-5180
2002/09/01,328,-5976
2002/10/01,350,-7128
2002/11/01,366,-7523
2002/12/01,371,-5493
2003/01/01,372,-179
2003/02/01,375,-1159
2003/03/01,380,-1885
2003/04/01,387,-2730
2003/05/01,388,-2365
2003/06/01,385,-4116
2003/07/01,382,-4962
2003/08/01,378,-5875
2003/09/01,388,-6480
2003/10/01,393,-7144
2003/11/01,394,-7084
2003/12/01,390,-4997
2004/01/01,377,-528
2004/02/01,374,-943
2004/03/01,383,-1936
2004/04/01,392,-2768
2004/05/01,402,-1913
2004/06/01,410,-3568
2004/07/01,419,-4404
2004/08/01,425,-5296
2004/09/01,431,-6183
2004/10/01,425,-6923
2004/11/01,427,-7508
2004/12/01,432,-10455
2005/01/01,440,-72
2005/02/01,448,-398
2005/03/01,450,-1463
2005/04/01,453,-2017
2005/05/01,458,-1454
2005/06/01,465,-3273
2005/07/01,471,-4227
2005/08/01,480,-6173
2005/09/01,490,-6928
2005/10/01,491,-8032
2005/11/01,489,-9296
2005/12/01,480,-9719
2006/01/01,468,-414
2006/02/01,460,-363
2006/03/01,456,-1504
2006/04/01,461,-2666
2006/05/01,464,-1891
2006/06/01,461,-3772
2006/07/01,458,-4455
2006/08/01,462,-5283
2006/09/01,473,-5320
2006/10/01,488,-6018
2006/11/01,501,-7247
2006/12/01,509,-7320
2007/01/01,506,-582
2007/02/01,505,-196
2007/03/01,505,-1334
2007/04/01,502,-2597
2007/05/01,494,-1214
2007/06/01,494,-2913
2007/07/01,493,-3536
2007/08/01,491,-3818
2007/09/01,485,-3706
2007/10/01,481,-5065
2007/11/01,475,-5764
2007/12/01,470,-6702
2008/01/01,464,-476
2008/02/01,460,-186
2008/03/01,454,-988
2008/04/01,455,-2465
2008/05/01,463,-808
2008/06/01,472,-2157
2008/07/01,477,-3458
2008/08/01,483,-3718
2008/09/01,477,-3856
2008/10/01,470,-5191
2008/11/01,477,-6473
2008/12/01,491,-5588
2009/01/01,516,-612
2009/02/01,540,-936
2009/03/01,556,-2527
2009/04/01,565,-5085
2009/05/01,572,-4182
2009/06/01,582,-7583
2009/07/01,595,-8841
2009/08/01,602,-9031
2009/09/01,606,-9399
2009/10/01,612,-11974
2009/11/01,618,-13355
2009/12/01,621,-14383
2010/01/01,636,-1210
2010/02/01,635,-1330
2010/03/01,645,-2715
2010/04/01,653,-4859
2010/05/01,656,-4708
2010/06/01,659,-8071
2010/07/01,661,-8934
2010/08/01,666,-9230
2010/09/01,669,-9713
2010/10/01,671,-12296
2010/11/01,672,-13380
2010/12/01,676,-14717
2011/01/01,675,-876
2011/02/01,677,-475
2011/03/01,681,-1152
2011/04/01,687,-2676
2011/05/01,692,-2251
2011/06/01,688,-6299
2011/07/01,687,-6849
2011/08/01,689,-7375
2011/09/01,697,-6737
2011/10/01,707,-9077
2011/11/01,720,-10100
