Month,Unemployment,Confidence
31-01-1987,359,12
28-02-1987,356,14
31-03-1987,349,15
30-04-1987,343,14
31-05-1987,337,13
30-06-1987,329,13
31-07-1987,320,13
31-08-1987,315,12
30-09-1987,312,12
31-10-1987,309,10
30-11-1987,301,8
31-12-1987,291,7
31-01-1988,283,7
29-02-1988,281,5
31-03-1988,283,4
30-04-1988,284,4
31-05-1988,278,4
30-06-1988,265,4
31-07-1988,253,1
31-08-1988,249,4
30-09-1988,251,1
31-10-1988,254,3
30-11-1988,254,3
31-12-1988,251,4
31-01-1989,248,7
28-02-1989,248,5
31-03-1989,247,3
30-04-1989,242,2
31-05-1989,239,3
30-06-1989,240,-1
31-07-1989,238,3
31-08-1989,234,-1
30-09-1989,230,0
31-10-1989,227,-1
30-11-1989,229,-2
31-12-1989,235,-2
31-01-1990,237,-3
28-02-1990,233,-2
31-03-1990,224,-2
30-04-1990,215,-1
31-05-1990,215,-4
30-06-1990,221,-3
31-07-1990,222,-4
31-08-1990,225,-3
30-09-1990,225,-4
31-10-1990,222,-6
30-11-1990,218,-3
31-12-1990,213,-3
31-01-1991,206,-4
28-02-1991,200,-8
31-03-1991,195,-5
30-04-1991,192,-8
31-05-1991,195,-6
30-06-1991,200,-4
31-07-1991,204,-7
31-08-1991,205,-5
30-09-1991,204,-5
31-10-1991,203,-3
30-11-1991,199,-3
31-12-1991,191,-6
31-01-1992,184,-6
29-02-1992,185,-5
31-03-1992,187,-6
30-04-1992,190,-5
31-05-1992,192,-6
30-06-1992,194,-9
31-07-1992,195,-9
31-08-1992,198,-10
30-09-1992,199,-14
31-10-1992,200,-14
30-11-1992,205,-18
31-12-1992,211,-18
31-01-1993,218,-23
28-02-1993,226,-20
31-03-1993,237,-25
30-04-1993,248,-24
31-05-1993,253,-25
30-06-1993,257,-27
31-07-1993,262,-26
31-08-1993,267,-23
30-09-1993,269,-25
31-10-1993,277,-22
30-11-1993,284,-18
31-12-1993,293,-16
31-01-1994,302,-15
28-02-1994,306,-11
31-03-1994,311,-7
30-04-1994,316,-7
31-05-1994,322,-5
30-06-1994,326,0
31-07-1994,331,3
31-08-1994,332,0
30-09-1994,333,2
31-10-1994,333,8
30-11-1994,334,5
31-12-1994,334,2
31-01-1995,338,5
28-02-1995,339,4
31-03-1995,341,0
30-04-1995,342,-2
31-05-1995,341,-2
30-06-1995,338,0
31-07-1995,336,2
31-08-1995,334,-2
